Epoch,Loss,Micro_f1,Macro_f1,NMI,ARI,Purity,Silhouette
245,1.0343409558137258,0.8530499075785583,0.8427651455047583,0.2701,0.2241,0.5289,-0.0144
246,1.0331655422846475,0.85150955021565,0.841068301432031,0.2067,0.1702,0.4743,-0.0160
247,1.0339978754520416,0.8552064078866297,0.8451614535203488,0.1536,0.1297,0.4419,-0.0157
248,1.0330154657363892,0.8555144793592113,0.8455844705402324,0.2466,0.2048,0.5208,-0.0092
249,1.0319370210170746,0.8545902649414664,0.845044278034397,0.1811,0.1536,0.4676,-0.0158
250,1.031071412563324,0.8561306223043746,0.8466644925953519,0.1822,0.1603,0.4730,-0.0088
251,1.0311470031738281,0.8585951940850277,0.8493827363265136,0.1864,0.1613,0.4745,-0.0088
252,1.0290696680545808,0.8582871226124461,0.8490492303583146,0.2767,0.2276,0.5316,-0.0165
253,1.0291811585426331,0.8545902649414664,0.8446699793478737,0.2448,0.2028,0.5072,-0.0092
254,1.0284444570541382,0.8552064078866297,0.8450219060106289,0.2176,0.1809,0.4790,-0.0119
255,1.0275479992230734,0.8536660505237215,0.8431180110593101,0.3108,0.2701,0.5554,-0.0136
256,1.0274914304415386,0.8570548367221196,0.8470998020814714,0.1897,0.1428,0.4498,-0.0102
257,1.0268002291520437,0.8582871226124461,0.8486445957262567,0.2702,0.2404,0.5265,-0.0096
258,1.025901081164678,0.8619839802834257,0.852088679624826,0.2871,0.2475,0.5519,-0.0165
259,1.0262928386529286,0.8666050523721504,0.8576538682188504,0.2328,0.1977,0.5070,-0.0089
260,1.026132094860077,0.8662969808995687,0.8576504378890952,0.2532,0.2155,0.5118,-0.0175
261,1.025213392575582,0.8684534812076402,0.8596502474540848,0.2649,0.2070,0.5204,-0.0158
262,1.0264277974764506,0.8687615526802218,0.860203487044878,0.2246,0.1885,0.4990,-0.0186
263,1.024856581290563,0.865988909426987,0.8573252360818331,0.3520,0.3051,0.5967,-0.0153
264,1.0230831265449525,0.8675292667898953,0.858632225842141,0.3343,0.2886,0.5766,-0.0166
265,1.0221702913443247,0.8690696241528034,0.8597292583821162,0.2685,0.2297,0.5173,-0.0082
266,1.0222366253534954,0.8687615526802218,0.859827599373176,0.2510,0.2120,0.5220,-0.0161
267,1.0225687146186828,0.8672211953173136,0.8580425307934755,0.2378,0.1989,0.5056,-0.0165
268,1.0207641164461771,0.8696857670979667,0.8607263319142124,0.2044,0.1644,0.4700,-0.0097
269,1.020790433883667,0.8696857670979667,0.8607619390454043,0.2820,0.2419,0.5321,0.0123
270,1.0210156480471293,0.8706099815157117,0.8617431838879325,0.3149,0.2639,0.5542,-0.0157
271,1.0194232900937399,0.8693776956253851,0.8605347802269397,0.3146,0.2701,0.5497,-0.0069
272,1.0199694335460663,0.8721503388786198,0.8631177058918313,0.1769,0.1484,0.4580,-0.0023
273,1.0189482947190602,0.8718422674060382,0.8629458280617445,0.3161,0.2835,0.5634,-0.0088
274,1.019412593046824,0.8758471965495995,0.8673935581625878,0.2028,0.1594,0.4739,-0.0113
275,1.0183274825414022,0.8767714109673445,0.8678312107449158,0.2613,0.2163,0.5018,-0.0156
276,1.0188383201758067,0.8773875539125077,0.8684775178622406,0.2543,0.2034,0.5082,-0.0170
277,1.0171949823697408,0.878003696857671,0.8696400587166401,0.3399,0.2966,0.5870,-0.0078
278,1.018109401067098,0.8792359827479975,0.871063133600647,0.2361,0.1983,0.4900,-0.0096
279,1.0166213949521383,0.878003696857671,0.8693999781509988,0.2076,0.1526,0.4709,-0.0168
280,1.0168026566505433,0.8807763401109058,0.8721867912815864,0.2700,0.2314,0.5292,-0.0080
